id,customerId,vin,year,make,model,color,licensePlate,mileage
6a5df6e2-0c18-4430-88f4-0f97bf4ab13d,b6717ed7-3d5d-4aa0-af0d-b182d721e91d,1F9RUD1A0SJ540040,2025,Retroride,Retroride,Blue,,2
70eccf97-dd31-4766-a6e5-d93c0d7b736a,6f43970f-93fe-4e9d-87c9-9506fdd88ef8,1F9RUD1A2SJ540007,2025,Retro Ride,Retro Ride,,,true
6587e08b-1267-471e-834d-fd7313bc16db,a5417f72-e432-49cd-8486-189de5cce58e,1F9RUD1AXRJ540038,2025,Retro Ride,Retro Ride,,,true
655f9417bdf5dc35f59806be,6560118dc8fd17a8d85fcafe,,2023,Navitas,Bronco,Blue,,0
656018c8bdf5dc300a98231d,6560189cbdf5dcf37f982319,,2023,Navitas,Bronco,Brown,,true
6564e58646762763b6613585,6560e6cc7205121586f47b71,,2018,EZGO,Elite,Silver,,false
65664513cc361d7b6fe9011c,,,2000,Arctic Cat,500,Green,,false
a2063d00-67e7-4150-a385-7d4908d5bd7c,6560e6cc7205121586f47b71,1F9RUD1A6SJ540009,2025,Retroride,Retroride,,,true
a5399910-c102-4b71-ad91-0324702722d9,,1F9RUD1A7RJ540028,2024,Retro Ride,Retro Ride,,,true
a58f716f-c100-4820-8809-4f9404948605,c4084e36-c370-4e30-bba5-33bfe7698d83,1F9RUD1A9RJ540046,2025,Retro Ride,Retro Ride,,,true
ab054f92-3478-4ab6-9c15-d21f9d2ef115,6626d3bc6df4aff7f6e9a5ed,,2010,Kawasaki,KAF400 Mule 610 4x4,,,true
ad691c19-bf15-4e2c-aea5-a48bf6986946,201bc3d1-db08-44bb-8e4d-a558b1032aad,1F9RUD1A4SJ540008,2025,Retro Ride,Retro Ride,,,true
ae30501b-7128-4c11-99f6-4ab8e9783a3e,011bfab0-4842-46fb-9b89-7cde3811e139,,2024,Navitas,Bronco,Blue,,true
59f53942-a2a1-4108-9e75-62045838898d,,1F9RUD1A2RJ540051,2024,Retro Ride,Retro Ride,,,true
345c2203-70e7-41db-871b-dd45bade32b4,647e411d-896a-4f4f-9554-4e00c9f4fb73,1F9RUD1A6SJ540012,2025,Retro ride,Retro ride,,,true
364176e3-59aa-4a52-aa0f-9610dcad6181,1d605f86-39c2-49a8-9ad7-bce6ec05ccb7,1F9RUD1A7RJ540045,2025,Retro Ride,Retro Ride,,,true
3866c224-6f65-40f1-9b1a-993d7693db97,f2a98453-f759-4fc1-b48a-c8163853366a,1F9RUD1A4SJ540025,2025,Retro Ride,Retro Ride,,,true
